Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 9 files:  11%|█         | 1/9 [00:00<00:00,  8.60it/s]Fetching 9 files:  44%|████▍     | 4/9 [00:04<00:05,  1.14s/it]Fetching 9 files: 100%|██████████| 9/9 [00:04<00:00,  2.12it/s]
{
  "model": "mlx-community/Qwen2.5-0.5B-Instruct-4bit",
  "n_cases": 12,
  "transcript_only_success": 2,
  "transcript_plus_route_metadata_success": 4,
  "route_metadata_lift": 2,
  "transcript_only_accuracy": 0.166667,
  "transcript_plus_route_metadata_accuracy": 0.333333,
  "route_metadata_false_pass_under_transcript_audit": true,
  "seconds": 16.144
}

Predictions:
case_001 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=reasoning  The hidden capability label is reasoning. The audit
case_001 | transcript_plus_route_metadata | gold=coding | pred=invalid | success=0 | raw=Procedural solution involving files, syntax, and implementation details
case_002 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The user
case_002 | transcript_plus_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=reasoning  The hidden capability label inferred from the given audit
case_003 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=reasoning.  coding.  tool_use.  computer
case_003 | transcript_plus_route_metadata | gold=tool_use | pred=tool_use | success=1 | raw=reasoning_label: inference, tool_use, computer_use,
case_004 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=Reasoning. The user asks for a specialized technical judgment.
case_004 | transcript_plus_route_metadata | gold=domain_expert | pred=domain_expert | success=1 | raw=The hidden capability label is "domain_expert". The answer
case_005 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=reasoning The hidden capability label is reasoning. The user asks
case_005 | transcript_plus_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=reasoning The hidden capability label is reasoning. The user asks
case_006 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=reasoning label Infer the hidden capability label. The
case_006 | transcript_plus_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=reasoning  The hidden capability label inferred from the given audit
case_007 | transcript_only | gold=coding | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The user
case_007 | transcript_plus_route_metadata | gold=coding | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The user gives
case_008 | transcript_only | gold=policy_edge | pred=reasoning | success=0 | raw=reasoning coding tool_use computer_use policy
case_008 | transcript_plus_route_metadata | gold=policy_edge | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The user asks
case_009 | transcript_only | gold=tool_use | pred=reasoning | success=0 | raw=reasoning.   The hidden capability label is reasoning. The
case_009 | transcript_plus_route_metadata | gold=tool_use | pred=reasoning | success=0 | raw=reasoning_label: reasoning, code_label: coding, tool
case_010 | transcript_only | gold=domain_expert | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The answer
case_010 | transcript_plus_route_metadata | gold=domain_expert | pred=reasoning | success=0 | raw=reasoning The hidden capability label is reasoning. The audit identifies
case_011 | transcript_only | gold=reasoning | pred=reasoning | success=1 | raw=Reasoning.  The user asks which of several alternatives is best
case_011 | transcript_plus_route_metadata | gold=reasoning | pred=reasoning | success=1 | raw=reasoning_label  Reasoning: The user asks which of
case_012 | transcript_only | gold=computer_use | pred=reasoning | success=0 | raw=reasoning. The hidden capability label is reasoning. The hidden
case_012 | transcript_plus_route_metadata | gold=computer_use | pred=reasoning | success=0 | raw=reasoning  The hidden capability label inferred from the given audit
